Region,Arrivals_2025,Arrivals_2024,Arrivals_2019,Market_Count,Share_2025,Growth_2025_vs_2019,Growth_2025_vs_2024
ASEAN,16812864,16461242,17880151,9,64.15002061341163,-5.96911625634482,2.13605996436963
East Asia,5172741,4456475,4594932,4,19.736758816215936,12.574919498264613,16.072478808924085
South Asia,1758698,1497560,1093964,6,6.710368498357318,60.76379113023829,17.437565105905616
Europe,1277007,1127761,1017666,13,4.872461073465589,25.483901397904617,13.233832345683183
Oceania,472512,430589,418411,2,1.802884656658399,12.930109390049505,9.73619855593153
North America,389650,358691,357496,2,1.486722044026279,8.994226508828064,8.631105882221735
Other,204899,186360,164647,10,0.7817986913869898,24.447454250608878,9.94795020390642
Middle East,102180,113945,196003,4,0.3898710598193384,-47.86814487533354,-10.325156873930407
Africa,18114,16979,22674,1,0.06911454665851924,-20.111140513363324,6.6847281936509795
