Year,Tourism_Revenue_USD_mn,YoY_Growth,Index_2019_100,Period,Revenue_Billion_USD
2015,17704.929,,85.10413942810558,Pre-disruption,17.704929
2016,19825.335,11.976359803532667,95.29651737371562,Pre-disruption,19.825335
2017,19115.868,-3.5785877010401146,91.88624792346027,Pre-disruption,19.115868
2018,20863.606,9.142864974794772,100.28728350150742,Pre-disruption,20.863606
2019,20803.84,-0.28646054761578554,100.0,Pre-disruption,20.80384
2020,3020.616,-85.48048821755984,14.519511782440164,Shock years,3.020616
2021,57.636,-98.09191237813744,0.2770450070756168,Shock years,0.057636
2022,6333.613,10888.987785411895,30.444441987633052,Recovery,6.333613000000001
2023,15649.156,147.08102626415604,75.22243970343936,Recovery,15.649156000000001
2024,22343.03,42.774664652841324,107.39858603027133,Recovery,22.34303
